Country,Year,GHG Energy,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP
Denmark,1972,58.01109109,55.2298925,57.9558612,5.590467295,52.11977728,0.000454936,2.222433461,2.189142941,71.186,0.404,0.439,11.499
Estonia,1972,0.02201839,22.01839,,,,,,,,,,
Finland,1972,,,44.61581705,9.734366955,34.29699346,0.0,0.164815825,0.227513107,53.603,0.498,0.502,9.399
France,1972,448.7614377,1700.87865,447.0605591,126.0820122,296.1522344,21.9587288,15.09599585,5.254320379,62.605,0.438,0.393,8.293
Germany,1972,1017.737562,3674.5392,1014.063022,554.9354304,408.1359215,50.20756914,13.89825313,8.233560502,75.673,0.663,0.572,12.724
Greece,1972,,,29.38363106,7.545194411,21.67467936,0.0,2.641275676,1.540324455,68.519,0.258,0.174,3.222
Hungary,1972,,,63.14773003,35.61281252,20.75536465,6.592216738,0.0,0.147576021,75.84,1.132,0.537,5.974
Iceland,1972,,,1.512808039,0.002704865,1.510103174,0.0,0.0,0.242885646,38.848,0.334,0.359,7.168
Ireland,1972,,,21.90107592,8.673078173,13.22799774,0.0,0.246282481,0.897753977,76.693,0.507,0.455,7.076
Italy,1972,311.2335145,2085.8145,309.1477,31.121782,250.1169603,27.88885804,24.35303219,3.428067646,65.649,0.335,0.275,5.637
Latvia,1972,,,,,,,,,,,,
Lithuania,1972,,,,,,,,,,,,
Luxembourg,1972,,,16.1769988,11.52800533,4.383589281,0.265404183,0.0,0.135277869,92.483,1.267,1.238,46.449
Netherlands,1972,143.7499277,225.0366973,143.524891,14.42040111,67.47703815,61.62745169,35.34771583,2.204471412,58.281,0.479,0.43,10.691
Norway,1972,24.97254736,1143.918039,23.82862933,4.1219907,19.70663863,0.0,2.105720915,0.860860121,40.84,0.204,0.252,5.99
Poland,1972,305.4647587,857.48786,304.6072708,266.8631737,25.16127751,10.79144451,1.614642399,0.56278194,80.441,2.166,1.014,9.059
Portugal,1972,,,14.84164221,1.680175329,13.03238081,0.0,2.25414939,0.845487582,54.029,0.202,0.131,1.67
Slovak Republic,1972,,,39.64935285,24.41900216,12.27158183,2.893664522,0.0,0.0,63.318,1.069,0.582,8.55
Slovenia,1972,,0.0,,,,,,,,,,
Spain,1972,,,126.3888472,39.53618287,85.50973899,1.341779543,6.854763275,1.887748439,66.595,0.289,0.213,3.578
Sweden,1972,83.2419027,16.17681,83.22572589,4.59855068,78.30741711,0.0,3.897903433,0.341269361,53.376,0.427,0.449,10.117
Switzerland,1972,,,39.96087167,1.598504472,38.137377,0.144763021,0.0,1.992275981,55.087,0.11,0.141,6.153
Republic of Türkiye,1972,,,52.23759032,20.44879006,29.51526858,0.0,0.325504695,0.132203481,53.08,0.327,0.14,1.321
United Kingdom,1972,614.7104325,4329.71119,610.3807213,305.0178728,269.6976339,35.66521456,16.22021219,7.637058027,68.428,0.481,0.509,10.736
Albania,1972,,,4.626608122,1.342819748,2.858189772,0.289073376,0.0,0.0,54.694,1.4,0.475,1.982
Armenia,1972,,,,,,,,,,,,
Azerbaijan,1972,44.42221421,44422.21421,,,,,,,,,,
Belarus,1972,,,,,,,,,,,,
Bosnia and Herzegovina,1972,,,,,,,,,,,,
Bulgaria,1972,,,66.66115175,35.39379645,30.7789692,0.396268274,0.0,0.614900087,81.075,3.694,1.421,7.681
Croatia,1972,,,,,,,,,,,,
Cyprus,1972,,,2.194470358,0.002697138,2.190678468,0.0,0.018758293,0.187544564,69.444,0.766,0.563,3.484
Georgia,1972,,,,,,,,,,,,
Gibraltar,1972,,,0.059928138,0,0.059928138,0.0,3.670453878,0.018446928,57.785,0.125,0.153,2.194
Kazakhstan,1972,13.41845443,13418.45443,,,,,,,,,,
Kosovo,1972,,,,,,,,,,,,
Kyrgyzstan,1972,,,,,,,,,,,,
Malta,1972,,,0.836443302,0,0.836443302,0.0,0.084562384,0.166022949,74.925,0.776,0.517,2.743
Republic of Moldova,1972,,,,,,,,,,,,
Montenegro,1972,,,,,,,,,,,,
Republic of North Macedonia,1972,,,,,,,,,,,,
Romania,1972,130.0731585,10483.84953,119.589309,33.87738152,31.97586965,53.20133467,0.0,0.05851995,64.179,2.028,0.841,5.729
Russian Federation,1972,228.9999445,228999.9445,,,,,,,,,,
Serbia,1972,,,,,,,,,,,,
Tajikistan,1972,,,,,,,,,,,,
Turkmenistan,1972,28.3548473,28354.8473,,,,,,,,,,
Ukraine,1972,1.84165825,1841.65825,,,,,,,,,,
Uzbekistan,1972,4.935196178,4935.196178,,,,,,,,,,
Former Soviet Union (if no detail),1972,,,2075.964911,934.3342546,696.571767,442.1653892,13.62240071,69.4836993,60.571,2.147,0.773,8.372
Former Yugoslavia (if no detail),1972,,,61.65207659,35.38035435,24.54226755,1.603580036,0.0,0.645750512,67.374,0.86,0.377,2.952
Algeria,1972,50.6851568,40939.48356,9.745673245,0.372553481,6.312181854,3.058608442,0.359270132,0.35030293,57.281,0.25,0.087,0.668
Angola,1972,7.756260084,4517.527869,3.238732215,0,2.331852988,0.112348912,0.425490663,0.261489736,13.858,0.061,0.035,0.378
Benin,1972,0.6159260631,0.1663991,0.615759664,0,0.407251999,0.0,0.0,0.019027687,8.25,0.146,0.054,0.127
Botswana,1972,0.253002835,0.0,0.253002835,0.017957782,0.177034626,0.0,0.0,0.003189042,20.6,0.235,0.103,0.307
Cameroon,1972,1.615482108,0.5288828,1.614953225,0,0.785935069,0.0,0.0,0.204089682,6.674,0.121,0.049,0.113
Congo,1972,1.278800907,579.9697975,0.698831109,0,0.610248584,0.004346459,0.0,0.0,27.461,0.305,0.161,0.408
Côte d'Ivoire,1972,3.043570947,1.14961,3.042421337,0,2.687966641,0.0,0.062229567,0.121178192,24.321,0.179,0.076,0.444
Dem. Rep. of Congo,1972,4.320280773,1.1717655,4.319109007,1.022279208,1.6489525,0.0,0.392046404,0.232525108,9.213,0.108,0.059,0.124
Egypt,1972,30.4352779,7456.829348,22.97844855,1.260080817,21.32505007,0.137719751,0.148043775,0.228408182,54.309,0.567,0.169,0.62
Equatorial Guinea,1972,,0.0,,,,,,,,,,
Eritrea,1972,,0.0,,,,,,,,,,
Kingdom of Eswatini,1972,0.409305484,0.0,0.409305484,0,0.233817497,0.0,0.0,0.003189042,9.288,0.359,0.15,0.491
Ethiopia,1972,4.750125004,0.6883765,4.749436627,0,1.224533968,0.0,0.053671348,0.146583663,2.659,0.12,0.045,0.04
Gabon,1972,4.215128848,3588.204429,0.626924419,0,0.474113463,0.0,0.173072483,0.022322393,10.475,0.115,0.058,0.76
Ghana,1972,2.645140112,0.8385208,2.644301591,0,2.043444512,0.0,0.196599803,0.105180754,15.125,0.198,0.068,0.214
Kenya,1972,4.413862604,2.066955,4.411795649,0.100214625,3.379631787,0.0,1.411138507,0.663291316,14.304,0.252,0.1,0.275
